cmpid, context, order, belong, p, op, condition, is_desirable, offsets, state
3623503457, 500724, 15, 4, 65535, 32, 2, 0, 5f, false, , OneByte
4182870349, 188222, 15, 4, 65535, 32, 2, 0, 5f, false, , OneByte
4182863881, 188222, 15, 4, 65535, 32770, 2, 0, 0, true, , Offset
393200434, 454458, 16, 4, 65535, 32, 2, 0, 2e, false, , OneByte
393228748, 454458, 16, 4, 65535, 32, 2, 0, 24, false, , OneByte
3623497946, 500724, 16, 4, 65535, 32, 2, 0, 5f, false, , OneByte
3623503457, 500724, 16, 4, 65535, 32, 2, 0, 5f, false, , OneByte
4182870349, 188222, 16, 4, 65535, 32, 2, 0, 5f, false, , OneByte
4182863881, 188222, 16, 4, 65535, 32770, 2, 0, 0, true, , Offset
3623520815, 500724, 1, 4, 65535, 32, 2, 45, 52, true, , OneByte
3623526326, 500724, 1, 4, 65535, 32, 2, 45, 5a, true, , OneByte
4182893218, 188222, 1, 4, 65535, 32, 2, 45, 5a, true, , OneByte
3345497277, 500724, 1, 5, 65535, 294, 2, 90, ff, true, , OneByte
3623482106, 500724, 1, 238, 65535, 288, 0, 4c, 0, false, 9-10, Unsolvable
3623515964, 500724, 1, 238, 65535, 288, 0, 4c, 2e, false, 9-10, Unsolvable
3623494349, 500724, 1, 238, 65535, 288, 0, 4c, 5f, false, 9-10, Unsolvable
3345360954, 500724, 1, 238, 65535, 288, 0, 80, 0, false, 9-10, Unsolvable
2546567886, 500724, 1, 49, 65535, 32, 2, 24, 0, true, , OneByte
3623515964, 500724, 2, 49, 65535, 32, 2, 24, 2e, true, , OneByte
3623494349, 500724, 2, 49, 65535, 32, 2, 24, 5f, true, , OneByte
3345360954, 500724, 2, 5, 65535, 32, 2, 80, 0, true, , OneByte
2546232870, 391395, 1, 239, 65535, 288, 0, 4c, 0, false, 9-10, Unsolvable
3623458478, 391395, 1, 5, 65535, 511, 2, 4c, 43, true, , OneByte
3623458478, 391395, 65537, 5, 65535, 511, 2, 4c, 4e, true, , OneByte
3623458478, 391395, 131073, 5, 65535, 511, 2, 4c, 4d, true, , OneByte
3623458478, 391395, 196609, 5, 65535, 511, 2, 4c, 58, true, , OneByte
3623458478, 391395, 262145, 5, 65535, 511, 2, 4c, 59, true, , OneByte
3623458478, 391395, 327681, 5, 65535, 511, 2, 4c, 49, true, , OneByte
3623458478, 391395, 393217, 5, 65535, 511, 2, 4c, 42, true, , OneByte
3623549195, 500724, 1, 97, 65535, 32, 2, 2e, 4e, true, , OneByte
3284446427, 1063, 1, 9157, 65535, 32, 1, 5f, 5f, false, 119-120, Unsolvable
3284448209, 1063, 1, 9157, 65535, 32, 1, 5a, 5a, false, 120-121, Unsolvable
4182693304, 147423, 1, 97, 65535, 32, 2, 2e, 47, true, , OneByte
4182709639, 147423, 1, 97, 65535, 32, 2, 2e, 54, true, , OneByte
4182686968, 886014, 1, 97, 65535, 511, 2, 2e, 4e, true, , OneByte
4182686968, 886014, 65537, 97, 65535, 511, 2, 2e, 5a, true, , OneByte
4182686968, 886014, 131073, 97, 65535, 511, 2, 2e, 55, true, , OneByte
4182686968, 886014, 196609, 97, 65535, 511, 2, 2e, 53, true, , OneByte
4182719605, 226241, 1, 97, 65535, 288, 2, 2e, 57, true, , OneByte
4182699079, 63574, 1, 54, 65535, 38, 2, 45, 2f, true, , OneByte
3958162646, 63574, 1, 54, 65535, 40, 2, 45, 3a, true, , OneByte
4182704590, 63574, 1, 101, 65535, 38, 2, 43, 60, true, , OneByte
3958197395, 63574, 1, 101, 65535, 288, 2, 43, 44, true, , OneByte
4182711388, 63574, 1, 54, 65535, 288, 2, 45, 43, true, , OneByte
3284664722, 63574, 1, 6, 65535, 288, 2, 4c, 4c, true, , OneByte
4182708121, 626810, 1, 157, 65535, 32, 2, 0, 6e, true, , OneByte
4182709540, 626810, 1, 6, 65535, 38, 2, 46, 2f, true, , OneByte
3958194029, 626810, 1, 6, 65535, 40, 2, 46, 3a, true, , OneByte
4182715678, 886014, 1, 97, 65535, 288, 2, 2e, 49, true, , OneByte
4182709408, 1063, 1, 54, 65535, 288, 2, 45, 2e, true, , OneByte
4182919552, 188222, 1, 97, 65535, 288, 2, 2e, 0, true, , OneByte
3623520815, 500724, 2, 9, 65535, 32, 2, 47, 52, false, , OneByte
3623526326, 500724, 2, 9, 65535, 32, 2, 47, 5a, false, , OneByte
4182893218, 188222, 2, 9, 65535, 32, 2, 47, 5a, false, , OneByte
4182872626, 188222, 1, 9, 65535, 32, 2, 0, 2e, false, , OneByte
4182895495, 188222, 1, 9, 65535, 32, 2, 0, 5f, false, , OneByte
4182918364, 188222, 1, 9, 65535, 32, 2, 0, 24, true, , OneByte
2280596273, 500724, 1, 33, 65535, 16418, 0, 0, 0, true, 122-123, Unsolvable
2280487076, 391395, 1, 39, 65535, 288, 2, 4d, 4d, true, , OneByte
1645617483, 529967, 1, 43, 65535, 32, 2, 46, 5f, false, , OneByte
641885154, 529967, 1, 51, 65535, 32, 0, 30, 5f, false, 3-4, Unsolvable
28810767, 529967, 1, 51, 65535, 32, 0, 30, 0, false, 3-4, Unsolvable
2546268510, 529967, 1, 43, 65535, 288, 2, 0, 0, true, , OneByte
3623454353, 529967, 1, 43, 65535, 288, 2, 0, 0, true, , OneByte
3623454419, 529967, 1, 43, 65535, 294, 2, 90, ff, true, , OneByte
2546327019, 391395, 1, 44, 65535, 32, 2, 46, 73, false, , OneByte
3623455343, 683756, 1, 44, 65535, 32, 2, 46, 75, false, , OneByte
3623444882, 683756, 1, 44, 65535, 32, 0, 46, 0, false, 3-4, Unsolvable
2546264649, 683756, 1, 44, 65535, 288, 2, 0, 0, true, , OneByte
2546232870, 538877, 1, 45, 65535, 32, 0, 46, 0, false, 3-4, Unsolvable
3623458478, 538877, 1, 45, 65535, 511, 2, 46, 43, true, , OneByte
3623458478, 538877, 65537, 45, 65535, 511, 2, 46, 4e, true, , OneByte
3623458478, 538877, 131073, 45, 65535, 511, 2, 46, 4d, true, , OneByte
3623458478, 538877, 196609, 45, 65535, 511, 2, 46, 58, true, , OneByte
3623458478, 538877, 262145, 45, 65535, 511, 2, 46, 59, true, , OneByte
3623458478, 538877, 327681, 45, 65535, 511, 2, 46, 49, true, , OneByte
3623458478, 538877, 393217, 45, 65535, 511, 2, 46, 42, true, , OneByte
1442106695, 391395, 1, 46, 65535, 32, 2, 46, 73, false, , OneByte
2546232870, 898368, 1, 46, 65535, 32, 0, 46, 0, false, 3-4, Unsolvable
3623458478, 898368, 1, 46, 65535, 511, 2, 46, 43, true, , OneByte
3623458478, 898368, 65537, 46, 65535, 511, 2, 46, 4e, true, , OneByte
3623458478, 898368, 131073, 46, 65535, 511, 2, 46, 4d, true, , OneByte
3623458478, 898368, 196609, 46, 65535, 511, 2, 46, 58, true, , OneByte
3623458478, 898368, 262145, 46, 65535, 511, 2, 46, 59, true, , OneByte
3623458478, 898368, 327681, 46, 65535, 511, 2, 46, 49, true, , OneByte
3623458478, 898368, 393217, 46, 65535, 511, 2, 46, 42, true, , OneByte
3343731315, 391395, 1, 243, 65535, 32, 0, 4f, 0, false, 10-11, Unsolvable
3344377290, 391395, 1, 75, 65535, 32, 2, 0, 0, true, , OneByte
3623487320, 391395, 1, 75, 65535, 294, 2, 90, ff, true, , OneByte
2280469355, 391395, 1, 75, 65535, 294, 2, 90, ff, true, , OneByte
3623468114, 391395, 1, 47, 65535, 511, 2, 46, 43, true, , OneByte
3623468114, 391395, 65537, 74, 65535, 511, 2, 43, 53, true, , OneByte
1441259354, 462915, 1, 16560, 65535, 32, 0, 73, 0, false, 14-15, Unsolvable
2546394141, 462915, 1, 89, 65535, 36, 2, fffffff2, 1a, true, , OneByte
3623465573, 462915, 1, 79, 65535, 511, 2, 42, 52, true, , OneByte
3623465573, 462915, 65537, 79, 65535, 511, 2, 42, 51, true, , OneByte
3623465573, 462915, 131073, 79, 65535, 511, 2, 42, 50, true, , OneByte
3623465573, 462915, 196609, 79, 65535, 511, 2, 42, 4f, true, , OneByte
3623465573, 462915, 262145, 77, 65535, 511, 2, 30, 41, true, , OneByte
3623465573, 462915, 327681, 79, 65535, 511, 2, 42, 53, true, , OneByte
3623465573, 462915, 393217, 89, 65535, 511, 2, 53, 54, true, , OneByte
3623465573, 462915, 458753, 48, 65535, 511, 2, 46, 46, true, 3-4, OneByte
